implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,scv,mean_generation_batch_hits,rho_lane,cycles,warmup_cycles,effective_capacity,offered_transactions,delivered_transactions,dropped_transactions,mean_occupancy,max_occupancy,loss_probability
time_merger,4,1,1.0,-0.1,0.6694214876033057,1.0,0.3,512,64,19,538,90,448,18.799107142857142,19,0.8327137546468402
time_merger,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.3,512,64,19,538,90,448,18.799107142857142,19,0.8327137546468402
time_merger,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.3,512,64,19,538,90,448,18.736607142857142,19,0.8327137546468402
time_merger,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.3,512,64,19,539,90,449,18.667410714285715,19,0.8330241187384044
time_merger,4,1,1.0,0.5,9.0,5.0,0.3,512,64,19,535,90,446,18.558035714285715,19,0.8336448598130841
time_merger,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.3,512,64,19,534,90,445,17.915178571428573,19,0.8333333333333334
time_merger,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.3,512,64,19,533,90,444,15.375,19,0.8330206378986866
time_merger,4,1,1.0,0.95,1000.0,760.9999999999986,0.3,512,64,19,0,0,0,0.0,0,1e-12
opq,4,2,1.0,-0.25,0.36,1.0,0.005,512,64,255,9,9,0,0.0,0,1e-12
opq,4,2,1.0,-0.1,0.6694214876033057,1.0,0.005,512,64,255,9,9,0,0.0,0,1e-12
opq,4,2,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.005,512,64,255,8,8,0,0.0,0,1e-12
opq,4,2,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.005,512,64,255,9,9,0,0.0,0,1e-12
opq,4,2,1.0,0.35,4.313609467455622,2.656804733727811,0.005,512,64,255,7,7,0,0.002232142857142857,1,1e-12
opq,4,2,1.0,0.5,9.0,5.0,0.005,512,64,255,10,10,0,0.017857142857142856,3,1e-12
opq,4,2,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.005,512,64,255,0,0,0,0.0,0,1e-12
opq,4,2,1.0,0.8,81.00000000000003,41.000000000000014,0.005,512,64,255,0,0,0,0.0,0,1e-12
opq,4,2,1.0,0.95,1000.0,760.9999999999986,0.005,512,64,255,0,0,0,0.0,0,1e-12
opq,4,2,1.0,-0.25,0.36,1.0,0.041874999999999996,512,64,255,75,75,0,0.0,0,1e-12
opq,4,2,1.0,-0.1,0.6694214876033057,1.0,0.041874999999999996,512,64,255,75,75,0,0.0,0,1e-12
opq,4,2,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.041874999999999996,512,64,255,76,76,0,0.0,0,1e-12
opq,4,2,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.041874999999999996,512,64,255,75,75,0,0.0,0,1e-12
opq,4,2,1.0,0.35,4.313609467455622,2.656804733727811,0.041874999999999996,512,64,255,75,76,0,0.04241071428571429,1,1e-12
opq,4,2,1.0,0.5,9.0,5.0,0.041874999999999996,512,64,255,75,75,0,0.13392857142857142,3,1e-12
opq,4,2,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.041874999999999996,512,64,255,81,81,0,0.43526785714285715,10,1e-12
opq,4,2,1.0,0.8,81.00000000000003,41.000000000000014,0.041874999999999996,512,64,255,82,82,0,1.7857142857142858,39,1e-12
opq,4,2,1.0,0.95,1000.0,760.9999999999986,0.041874999999999996,512,64,255,0,0,0,0.0,0,1e-12
opq,4,2,1.0,-0.25,0.36,1.0,0.07875,512,64,255,141,141,0,0.0,0,1e-12
opq,4,2,1.0,-0.1,0.6694214876033057,1.0,0.07875,512,64,255,141,141,0,0.0,0,1e-12
opq,4,2,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.07875,512,64,255,142,142,0,0.0,0,1e-12
